Response ID,Cost Considerations,Travel Distance & Difficulty,Time Constraints & Real-life Pressure,Environmental Conditions,Urban Safety,Artist-related Considerations,Personal Preferences,Q12 (coded response)
1,5,4,5,3,4,4,3,1
2,5,4,5,3,4,4,4,1
3,4,3,3,4,4,4,4,3
4,4,3,3,3,4,4,4,2
5,5,4,4,4,5,4,4,2
6,4,4,5,4,4,4,5,2
7,3,3,3,5,4,5,4,2
8,4,4,5,5,5,4,5,2
9,4,3,5,4,3,5,4,2
10,3,4,3,4,4,3,4,2
11,4,4,5,5,4,4,5,1
12,5,4,4,3,5,4,5,2
13,5,4,3,4,5,4,3,3
14,1,2,3,4,3,2,1,2
15,4,5,4,4,4,4,5,2
16,4,5,4,5,4,5,4,2
17,4,4,4,3,4,4,4,2
18,4,4,4,4,4,4,4,2
19,5,4,5,4,3,4,4,2
20,4,4,3,2,3,3,3,3
21,5,4,4,4,4,3,4,3
22,4,2,5,3,1,3,5,2
23,4,3,5,4,3,4,5,2
24,5,5,4,4,5,4,5,2
25,5,4,3,2,1,2,3,3
26,4,5,3,3,4,5,3,2
27,4,4,4,4,4,4,4,2
28,4,4,5,5,4,4,5,2
29,4,4,4,4,4,4,4,2
30,4,4,4,4,3,3,3,3
31,3,3,4,5,4,4,3,2
32,4,3,4,4,5,4,4,2
33,4,4,3,4,4,3,3,2
34,4,5,5,3,5,4,3,1
35,4,2,3,5,4,3,2,3
36,4,5,4,3,2,1,2,3
37,5,4,4,4,5,5,4,1
38,4,4,5,5,4,3,3,2
39,4,4,4,5,5,5,4,2
40,4,3,4,4,3,3,4,2
41,4,4,3,3,5,5,3,3
42,4,3,4,5,4,5,4,3
43,4,3,3,4,4,3,3,3
44,4,3,4,5,5,4,3,2
45,3,4,5,4,3,4,3,2
46,4,5,4,3,5,5,4,1
47,5,3,4,4,4,4,5,2
48,4,3,4,3,4,4,3,2
49,4,5,3,4,4,5,5,2
50,4,5,4,4,5,4,3,2
51,4,3,4,4,4,3,3,2
52,4,5,4,5,4,4,5,2
53,4,5,4,3,5,4,4,3
54,4,4,4,3,3,4,4,2
55,4,5,4,4,5,4,4,2
56,4,5,5,4,4,5,4,2
57,4,3,5,4,3,4,5,2
58,4,5,4,4,5,5,4,1
59,5,4,3,4,4,5,4,2
60,3,3,3,3,3,3,3,3
61,4,5,4,4,5,4,4,2
62,5,4,4,3,4,5,4,2
63,4,5,5,4,4,5,4,2
64,3,4,5,4,3,2,3,3
65,3,4,5,4,3,4,5,2
66,3,4,3,4,2,3,4,2
67,5,4,4,4,5,4,3,2
68,3,4,3,4,3,4,3,3
69,4,4,5,5,4,3,4,1
70,5,4,5,4,5,4,4,1
71,5,4,5,4,4,3,5,2
72,5,4,5,3,4,5,4,2
73,2,3,4,3,2,1,2,3
74,3,4,4,4,4,3,3,2
75,5,5,4,4,5,4,4,2
76,4,3,3,4,4,5,3,1
77,4,3,5,4,3,4,5,2
78,4,3,4,5,5,4,4,2
79,4,5,3,4,3,5,4,3
80,4,3,2,3,4,3,2,2
81,4,5,5,3,4,4,5,2
82,1,2,3,4,4,5,4,2
83,5,5,5,5,5,5,5,2
84,5,4,5,5,4,4,5,1
85,4,5,5,4,4,5,4,2
86,5,5,4,4,5,5,4,2
87,4,4,4,4,4,4,4,2
88,2,3,4,5,5,4,3,3
89,5,5,5,5,5,5,5,1
90,3,4,5,4,3,2,3,2
91,5,5,5,4,4,5,4,2
92,3,4,5,4,4,5,4,2
93,3,4,5,4,4,5,4,4
94,5,4,5,3,3,4,5,2
95,4,3,5,2,4,5,3,1
96,3,4,4,3,4,5,5,2
97,4,5,5,4,5,5,4,1
98,4,5,5,4,5,5,3,1
99,4,5,5,3,4,4,3,1
100,5,5,4,4,5,5,4,3
101,4,5,4,3,4,5,4,3
102,2,3,2,3,3,2,3,3
103,4,3,5,3,4,3,4,2
104,4,4,3,3,3,5,4,2
105,4,5,4,4,5,5,4,2
106,5,5,5,5,5,5,5,1
107,4,4,4,3,3,4,3,2
108,4,5,4,5,4,4,5,2
109,3,4,5,4,4,5,4,2
110,3,5,4,3,5,4,3,3
111,4,5,5,4,5,5,4,2
112,4,4,5,5,4,4,5,2
113,4,3,5,2,4,3,2,3
114,4,5,3,5,4,5,4,2
115,5,4,5,5,4,4,5,1
116,4,5,5,5,4,3,4,2
117,4,5,5,4,4,4,4,1
118,4,5,4,4,3,4,4,2
119,4,5,5,4,4,5,4,2
120,5,5,5,4,4,5,4,2
121,4,5,5,5,4,4,5,2
122,5,4,4,3,4,4,3,1
123,5,5,5,5,2,4,3,3
124,4,4,4,4,4,4,4,4
125,3,3,2,3,2,4,3,2
126,3,3,3,2,2,3,3,1
127,3,4,3,3,3,2,3,5
128,4,4,5,4,4,5,3,1
129,2,1,2,2,2,2,2,4
130,2,4,3,2,3,2,3,2
131,4,4,4,4,5,4,3,2
132,1,1,1,1,1,2,2,5
133,4,4,4,4,4,3,3,2
134,2,2,2,2,2,1,2,3
135,2,2,2,1,2,3,2,1
136,1,1,1,1,2,1,2,5
137,3,3,3,4,3,3,3,4
138,5,5,5,5,5,5,4,2
139,5,5,5,5,5,4,5,3
140,5,4,5,4,5,4,4,2
141,4,4,4,4,4,4,4,2
142,4,3,5,3,3,4,4,5
143,4,4,4,4,4,4,3,3
144,1,1,2,1,2,1,1,3
145,1,1,1,1,2,1,2,5
146,5,2,5,5,4,5,5,4
147,1,1,1,1,2,1,1,2
148,4,4,4,4,4,4,4,2
149,3,3,3,2,3,2,2,2
150,3,3,3,3,3,2,1,3
151,2,3,2,4,4,1,2,4
152,4,4,3,3,4,4,5,3
153,5,5,5,5,4,4,5,3
154,5,5,4,3,5,5,5,5
155,4,4,4,4,4,4,2,2
156,3,3,2,3,2,3,3,4
157,4,4,3,4,4,4,2,1
158,3,3,3,3,3,4,3,1
159,5,5,5,4,5,5,5,2
160,3,3,3,2,3,2,3,1
161,3,2,3,3,4,4,3,2
162,4,4,4,4,4,4,4,3
163,1,2,2,1,1,1,1,1
164,2,2,2,2,2,2,5,3
165,1,1,1,1,1,1,2,2
166,4,4,4,4,5,4,4,1
167,4,4,4,4,3,4,4,2
168,2,2,2,2,1,2,2,2
169,3,3,3,3,3,3,3,3
170,5,5,4,5,5,5,5,2
171,2,1,2,2,1,2,1,2
172,3,3,3,3,3,2,2,5
173,3,3,3,3,3,3,3,1
174,3,3,4,3,4,4,3,1
175,4,4,4,4,4,3,4,1
176,2,2,2,2,3,1,4,5
177,2,2,1,2,4,3,2,4
178,4,3,3,4,4,4,4,1
179,4,4,4,4,4,5,3,3
180,3,3,3,3,3,3,3,1
181,3,3,2,5,3,5,3,3
182,1,5,1,2,1,1,2,3
183,4,4,4,4,4,5,4,2
184,5,5,5,5,5,5,1,2
185,1,1,1,1,1,1,2,2
186,4,5,4,4,4,4,4,3
187,4,5,4,4,5,4,5,1
188,4,4,4,5,4,4,5,1
189,5,5,4,4,3,5,5,5
190,2,2,1,2,2,2,1,3
191,5,4,5,5,5,5,5,4
192,1,1,1,1,1,1,2,4
193,4,4,4,5,3,4,4,4
194,1,1,2,2,1,1,1,2
195,5,5,1,5,5,5,5,1
196,3,3,3,3,4,3,3,2
197,1,2,1,2,4,1,1,4
198,3,3,3,2,3,2,3,3
199,5,5,4,5,5,5,5,2
200,3,1,3,3,4,3,3,2
201,2,1,3,2,1,1,2,4
202,4,3,4,4,4,4,4,2
203,2,2,3,2,3,4,2,2
204,2,2,2,2,2,2,3,2
205,2,2,2,2,3,2,1,2
206,5,5,5,5,5,5,2,4
207,2,2,2,3,2,2,2,2
208,4,5,4,3,4,2,4,3
209,5,5,5,3,5,4,4,1
210,5,4,4,4,4,5,5,2
211,5,5,5,4,5,5,5,1
212,2,2,1,2,2,1,2,3
213,4,4,4,4,3,4,3,1
214,3,3,3,2,3,3,3,2
215,4,3,4,4,3,5,5,5
216,1,1,2,1,1,2,2,2
217,3,1,3,3,4,3,3,1
218,4,4,4,4,3,4,4,2
219,4,4,5,4,4,4,4,1
220,4,4,5,5,4,3,4,2
221,4,4,4,4,3,1,5,4
222,3,3,2,3,3,3,3,2
223,2,2,3,2,3,2,1,4
224,4,4,4,4,3,3,4,3
